295247,513693,36
299750,1011783,36
300139,513693,36
301908,313801,36
302957,2676065,36
304286,1045041,36
308579,412474,36
308977,316442,36
309575,2695226,36
310384,560468,36
314870,350898,36
315615,363754,36
315615,373279,36
316917,393966,36
323365,344789,36
323365,1857589,36
326361,376178,36
336424,405598,36
336641,842398,36
337890,346050,36
344789,490759,36
360625,374779,36
394512,415522,36
405007,412217,36
420190,456061,36
477634,571277,36
477634,694036,36
491688,597413,36
491688,1322898,36
505029,637595,36
585558,587829,36
585558,641209,36
1445571,2496120,36
1449104,2496120,36
1498470,2707764,36
1606841,3569625,36
1737487,4890313,36
1737487,5296047,36
2046071,5022980,36
3529915,4130162,36
4870102,4886439,36
5309190,5313216,36
5481998,5536746,36
10918,217478,35
13351,579981,35
61967,606711,35
142088,373279,35
148523,286258,35
148523,461914,35
149912,334817,35
149912,496852,35
169620,293918,35
186259,190992,35
190787,231473,35
190787,323520,35
190787,356431,35
206045,310508,35
209278,356431,35
230247,232488,35
231473,309575,35
231473,907898,35
242257,287502,35
278037,299750,35
278037,323365,35
278339,278631,35
278955,285757,35
278955,393019,35
284598,288372,35
284906,435551,35
285144,622397,35
288372,292437,35
289233,427269,35
292437,381870,35
293422,639540,35
295247,373279,35
296460,2676065,35
299614,304286,35
299750,490759,35
300139,402813,35
301024,395034,35
302927,392071,35
305595,464103,35
309575,323520,35
309645,395034,35
310384,313210,35
310384,344004,35
310779,344789,35
313590,1011783,35
313801,392071,35
314724,1457418,35
314901,342260,35
315297,348117,35
315615,322215,35
316047,332128,35
316917,366256,35
341235,483551,35
341235,560468,35
344004,444158,35
350004,356402,35
355345,1833620,35
355345,2666431,35
356755,1052267,35
370244,1686487,35
380716,425077,35
392071,420190,35
477634,547177,35
491688,510278,35
491688,862053,35
491688,1014226,35
505029,618124,35
562465,1091799,35
653349,1091799,35
825913,3184451,35
1445747,3279908,35
1457418,1988740,35
1768699,1816689,35
2496120,3529915,35
1709,15433,34
7637,913542,34
10295,314283,34
10918,209957,34
13351,310508,34
13351,329236,34
24399,912985,34
24399,1020729,34
29378,541828,34
41962,81344,34
54334,431398,34
57845,302927,34
81344,912985,34
96827,413224,34
132400,558637,34
149912,310046,34
149912,746324,34
149912,853622,34
166947,169620,34
171897,186505,34
176717,310508,34
186259,574447,34
191767,210719,34
196231,2695226,34
199784,2661647,34
209278,209957,34
209957,232488,34
232488,489770,34
248721,4625544,34
278110,278339,34
278305,308072,34
278767,280265,34
278955,412474,34
282003,328664,34
284329,494845,34
285671,344789,34
287502,322951,34
287502,1507211,34
287581,288700,34
291176,300779,34
293764,490759,34
295247,327142,34
296814,299750,34
300101,319929,34
300847,412474,34
300847,541828,34
301024,394512,34
301024,6642654,34
308072,1364413,34
308579,323277,34
308579,327142,34
310384,320027,34
310779,380716,34
312586,5344761,34
312962,402813,34
318666,319560,34
319447,345599,34
320027,494845,34
322035,357106,34
325055,359371,34
332484,494845,34
339873,380740,34
346524,496160,34
348472,356431,34
348472,1696023,34
349630,491688,34
349653,565376,34
351724,409396,34
352574,577589,34
353558,443651,34
373279,464103,34
373279,560468,34
380716,560468,34
381870,566659,34
388273,1045041,34
395034,560468,34
395034,1857589,34
402078,413224,34
403379,446463,34
405007,462806,34
405007,824566,34
484958,2676065,34
484958,2830996,34
490650,516583,34
491688,511954,34
491688,873466,34
541149,748600,34
562465,637165,34
585558,734139,34
1449104,4954957,34
1737487,5280748,34
1737487,5323560,34
2815869,2843003,34
4945115,5326752,34
5619620,5758076,34
9850,15270,33
9850,332402,33
11382,329236,33
11559,494845,33
12267,17060,33
13397,232463,33
15140,191767,33
31646,844255,33
41962,570700,33
149898,1334965,33
149912,960643,33
165409,535072,33
184908,190399,33
187168,277434,33
199784,488491,33
209278,489770,33
217478,4566780,33
230247,2695226,33
232488,356431,33
272078,301908,33
272078,393966,33
278037,541828,33
278037,2205386,33
278305,381870,33
278955,288925,33
280618,292401,33
282003,300139,33
284329,295247,33
284329,314481,33
284906,315615,33
284906,560468,33
285144,296814,33
285733,302957,33
285757,288925,33
285757,381205,33
287073,287426,33
287073,349342,33
288372,381870,33
289848,357147,33
293422,341235,33
293654,301576,33
296460,381205,33
296693,309645,33
296814,494845,33
298360,534299,33
299614,1834901,33
299750,349686,33
301024,315615,33
301024,431398,33
302927,395034,33
302927,431398,33
303414,305779,33
304286,333167,33
306771,308579,33
313210,412474,33
313801,494845,33
315615,316917,33
315615,366256,33
315670,316047,33
320638,322756,33
321963,609048,33
321963,907898,33
323296,323365,33
323390,535928,33
327142,412474,33
328664,361245,33
335339,360746,33
336986,412344,33
341235,349686,33
341990,353502,33
342736,350511,33
373279,402813,33
374285,381017,33
378048,422134,33
388273,451809,33
392071,394512,33
393019,464103,33
395034,412474,33
396192,541828,33
402078,405007,33
405007,428223,33
412474,414823,33
415522,1857589,33
422134,425861,33
425077,483551,33
441325,448877,33
447408,2788970,33
448877,551154,33
465986,783244,33
477634,870639,33
505029,590536,33
1445571,2046071,33
1449104,6374498,33
1750748,1889271,33
2834114,5536746,33
3279908,4880427,33
3637564,4863665,33
4863665,5334294,33
4886439,5326752,33
4954957,5046313,33
5618529,5619620,33
10918,309575,32
13351,15363,32
15363,191358,32
15433,2340076,32
24399,41962,32
24399,714353,32
108567,141775,32
149912,565260,32
149912,584148,32
149912,913467,32
183763,531198,32
190787,199784,32
190992,209957,32
191630,204383,32
196231,488784,32
206045,342260,32
209278,231473,32
215158,369484,32
231473,488491,32
232488,309575,32
248721,298718,32
248721,331896,32
272078,296693,32
272078,302927,32
272078,2788970,32
277434,299508,32
277434,606790,32
278197,1658783,32
278305,292265,32
278305,316964,32
278622,4708539,32
278877,282003,32
278877,541828,32
282003,333167,32
282003,366256,32
282003,402813,32
284329,431398,32
284906,431398,32
285144,313801,32
285671,312962,32
285733,299750,32
285733,304286,32
285733,415522,32
285757,399738,32
288543,288925,32
288543,293422,32
291603,300821,32
296460,425077,32
296814,361245,32
296814,503164,32
296814,657580,32
297327,349686,32
297327,503164,32
297355,372956,32
298670,310508,32
300139,420190,32
